ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
spam,ham,+  *0.986,0.014
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0.49,*0.51
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0.49,*0.51
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
spam,ham,+  *0.596,0.404
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0.002,*0.998
spam,spam,0,*1
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
ham,ham,*1,0
ham,ham,*1,0
ham,ham,*1,0
spam,spam,0,*1
spam,spam,0,*1
spam,spam,0,*1
